country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,135,557,154,2800,,,,,,17
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,59,,766,,,,,,,,,115,188,18,39,,,329,,2420,515,229
Argentina,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,260,129,,,,2700,500,950,900,165,750,,20,,2700,200,38,,400,20,64,151,,31,,96,,32,,,86,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Benin,,,,,,,1,,,,,,,,,,,65,,228,,,,,,,65,47,78,9,351,378,50,3,,4,,,33
Bhutan,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,67,,329,,,,,,18,5,33,,,,,,,,1,
Botswana,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,470,,
Brazil,,,,,1500,,,,,,,,,,300,,,,,,,196,,,,2,,,13,3,,,57,,,,,,123
Burkina Faso,,,,,,,,,,241,,1090,,,,,,,,,,37,,,,,4140,2270,26,,,2980,,1060,527,9,784,1490,250
Burundi,,,,,,,,,54,,,,,,,,,,,,,,220,,,,,21,,80,308,,87,6,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,50,,,,,3,490,56,,,,,7,,,182,
Cameroon,,,,,,,,,,,,,,,,,,,39,100,118,308,731,513,,,378,109,239,14,22,31,,,46,42,8,,
Canada,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,,,,1,45,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,14,448,343,6,23,,,,,
Chad,,2310,,,,,,,,,,,,,,,,,433,,,1260,,,,,94,239,,,1210,113,,11,144,115,20,,22
Chile,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,,,,,,369,,16,38,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,350,,,,,62,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,40,14,,,,,,,,29,
"Congo, Dem. Rep.",,,,,,,245,,,,,,,,,,,498,,,,500,,,,233,202,54,1000,3,26,838,2500,786,706,101,151,172,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,15,24,19,128,29,,10,50,,26
Cote d'Ivoire,120,,,,,,,,,,,,,,,,,,,,,16,,,,150,,,,,,196,77,,,40,42,30,44
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,10,,,29,43,,4,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,20,,,2,,,,16,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,343,200,,,,,,13,,8,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,155,,,,5,,,,,24,,6,304,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
Ethiopia,500,,,,,,,,,,157,990,,,,1100,,,7400,,,,,,,,,,,9,422,429,12,,,74,351,,20
France,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,1,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,20,,45,,,,,50,,,1,,,,
Gambia,,,,,,,,,200,,,,,,,,,,,,,,,,,,,120,,,21,,,,,,,,
Ghana,,,,,,,,,,,,,,,103,,,,15,,,20,,,,,411,26,67,24,,12,,,,40,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,200,180,206,,,,,,17,,,,1,,,,,,
Guinea,,,,,,,,,,,,,,,,,,18,,,,,,,311,,,,,12,190,12,23,24,100,72,129,90,
Guinea-Bissau,,,,,,,,,,,,,,,,,,68,,,,,,,195,,961,781,,404,,,,,3,399,,,221
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,17,,,,8,,,,,,
India,,,,,,,,,2210,215,1040,,118,,4510,1850,265,90,3910,200,148,185,,,53,,354,80,807,281,242,89,180,,,706,,,
Indonesia,,,,,,,,117,93,,,,39,120,105,,59,,,,50,294,,,,,117,197,1450,56,25,,17,,745,,,403,
Iran,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,
Iraq,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,24,11
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Japan,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,26,,,1000,,,1230,27,1810,50,40,,,8,53,183,,43
Kiribati,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,63,,,,,143,,500,34,,,,,44,,,,2,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,,,,,,,,
Liberia,,,,,,,,,,,466,,,,,,,,,,,,,,,9,56,,12,39,13,,,,,29,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981,,,671,,,,,,20
Malawi,,,,,,,,,,,,,,,,,,,,35,,,,,,,,10,,,83,1130,216,,,,20,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,263,,,,,13,95,105,,4,,2,,,,,56,
Maldives,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,30,,412,,,1020,,,202,47,,,,,,,,345,1100,,,,,33,106,,43,9,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Mauritania,,,,,,,,,,,,,5,,,,,35,38,,,,,,,,46,,6,,,,,,,55,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,52,,,,16,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Mozambique,,,,,,,,,,,10,,,189,,,,,,,694,,587,,,,,637,209,,11,7,17,159,,,27,78,51
Myanmar,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,30,
Namibia,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,14,134,,,,,10,7,
Nepal,,,,,,,,,,,,,,,,,,,,,150,1330,640,,,126,118,84,185,150,319,26,32,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,2,,,,18,,,7,,,,,,,,,,
Niger,319,,,,,,,,,,,,,,,,,,,186,,2840,,,,3020,882,262,,49,190,573,316,195,154,44,62,,173
Nigeria,,,,,,,,,,,,,,,,,1070,530,,29,60,7690,100,,,,5540,,39,516,99,544,255,,172,719,,200,178
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,109,,10,,2,42,,,
Panama,,,,,,,,,,,,,,,,,,,,,,43,57,,,1,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,142,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,8
Peru,,,,,,,,26,,,,,,,,,,,230,,,9730,690,,,,,1,16,,,,,,,,,,
Philippines,,,,,,,,75,17,,,,,,,,,,,,21,,70,,,,30,,202,10,1,,2,,32,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,
Rwanda,,,,,,,,,17,,,,,,,,,,,,,32,,,,,10,,55,76,10,,83,,4,,35,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,150,,,31,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,35,,,,,,,
Senegal,,,,,,,,,5,,,,,,,300,,,,,,,,,,188,,,372,,,,18,,6,303,,16,
Sierra Leone,,,,,,,,,,,,,,,,352,,,,,,,,,,,226,51,55,133,38,12,,10,56,,,,170
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,33,,,,,,
Somalia,,,,,,,,,,,,,,,,1260,1310,,,,,,,,100,,247,500,481,15,688,33,93,,,13,144,1130,13
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,85,,5,,,,11
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,53,,,,,,,,,,36,,1,2,,,,,,,,
Sudan,,,,,,,150,,,,,,,,,,,60,2770,,,12,,,,,700,,3120,357,186,,49,27,98,650,1140,584,15
Swaziland,,,,,,,,,,,,,,,,,,,,,,,30,,,,80,,,,32,,,,,,,,
Syria,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,3,,,,,,,,,
Tanzania,,,,,,,,500,,,12,,,163,,10,,90,,,200,574,,,,,,2330,2460,56,37,25,9,,,6,70,119,
Thailand,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,89,,2,7,14,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
Togo,,,,,,,,,,,,,,,,,,,50,,,,,,,,360,,239,,,235,95,40,,,,,
Turkey,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,4,,20,,
Uganda,,,,,,,,,,,,,3,,,,27,,,156,197,100,50,,,,20,,30,137,259,14,,35,3,21,192,103,28
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,71,204,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,26,34,,,,,,,,,,,,,,,,11,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,3,,,100,,,,,,,,,214,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
Venezuela,,1,,,,,,,,,,,,,,,,,,37,74,18,32,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,200,,,,,,45,,234,,,,5,15,42,16,,27,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
Zambia,,,,,,,,,,,,,51,,,,,,,,85,,,,,,,,,462,163,11,,179,,21,5,5,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,258,,,,1310,,22,52,112,,4,40,,87,,67,1560
